source_row,source_page,generic_name_raw,dosage_form_raw,strength_raw,reason
101,7,Multivitamin,Syrup,-,"Missing generic name, dosage form, or strength."
102,7,Multivitamin,Syrup,-,"Missing generic name, dosage form, or strength."
148,10,Mutivitamin and Minerals,Tablet,-,"Missing generic name, dosage form, or strength."
191,13,"Poliomyelitis vaccine (bivalent, type 1 & type 3, live oral)",Oral drops,-,"Missing generic name, dosage form, or strength."
192,13,"Poliomyelitis vaccine (bivalent, type 1 & type 3, live oral)",Oral drops,-,"Missing generic name, dosage form, or strength."
226,15,Sevoflurane,Inhalation Anesthetic Liquid,-,"Missing generic name, dosage form, or strength."
273,18,Compound benzoic acid,Ointment,-,"Missing generic name, dosage form, or strength."
279,19,Alcohol Based Hand Rub,-,-,"Missing generic name, dosage form, or strength."
296,20,Betamethasone Dipropionate 0.064%W/W and Salicylic Acid BP 3%W/W,Ointment,-,"Missing generic name, dosage form, or strength."
304,21,Brimonidine Tartrate Ophthalmic Solution 0.1%w/v,Eye Drops,-,"Missing generic name, dosage form, or strength."
308,21,Calcium 250mg + Vitamin D3 400IU,Soft Gelatin Capsule,-,"Missing generic name, dosage form, or strength."
309,21,Calcium Carbonate 625mg+ Vitamin D3 400IU,Soft Gelatin Capsule,-,"Missing generic name, dosage form, or strength."
339,23,Compound Sodium Lactate (Ringer Lactate Solution),Infusion,-,"Missing generic name, dosage form, or strength."
340,23,Compound Sodium Lactate (Ringer Lactate Solution),Infusion,-,"Missing generic name, dosage form, or strength."
