source_row,source_rows,source_page,generic_name,strength,dosage_form,route,base_uom,canonical_key,matched_product_id,import_status,notes
"1","1","1","Aspirin","75 mg","Tablet (delayed Release)","","Tablet","aspirin|75mg|tabletdelayedrelease","918f3499-b013-41b1-bddb-e2badae81191","EXISTING_MATCH","Explicit tablet dosage form."
"2","2","1","Paclitaxel(protein Bound Particles)","100 mg/Vial","Suspension For Injection","","Piece","paclitaxelproteinboundparticles|100mgvial|suspensionforinjection","4d5fb747-ff8a-444f-9f12-70803a8131b5","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"3","3,4","1","Acetylcysteine","200 mg/mL","Infusion","","Piece","acetylcysteine|200mgml|infusion","d25b1d2c-86df-434b-8288-df35cdc5021e","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"5","5,23,292","1","Azithromycin","500 mg","Tablet","","Tablet","azithromycin|500mg|tablet","098b84df-ae8c-43b6-8799-c97500a37b3e","EXISTING_MATCH","Explicit tablet dosage form."
"6","6","1","Adalimumab","40 mg","Injection","","Piece","adalimumab|40mg|injection","b07889d9-17e4-430d-9e82-c76371913211","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"7","7","1","Adapalene","2 %","Cream","","Piece","adapalene|2|cream","44ddbdb1-7a6b-43fb-b8d4-48a15324b05d","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"8","8,287","1","Apixaban","5 mg","Tablet","","Tablet","apixaban|5mg|tablet","06013f3c-add2-44ac-adc7-26dd1550fb80","EXISTING_MATCH","Explicit tablet dosage form."
"9","9","1","Amiodarone","100 mg","Tablet","","Tablet","amiodarone|100mg|tablet","fedf9769-235e-4ce7-84c2-9df42076409d","EXISTING_MATCH","Explicit tablet dosage form."
"10","10,11","1","Amikacin","250 mg/mL","Injection","","Piece","amikacin|250mgml|injection","ce40f439-ccba-41f0-a2e9-cb3bdf2cf637","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"12","12,13","1","Amikacin","250 mg/1 mL","Injection","","Piece","amikacin|250mg1ml|injection","34bd1ea6-d265-4afe-a54a-26f3eae2b4db","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"14","14","2","Aminophylline","25 mg/mL","Injection","","Piece","aminophylline|25mgml|injection","c318b82c-8adb-4130-8596-0bcc4aadac7a","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"15","15","2","Amlodipine","5 mg","Tablet","","Tablet","amlodipine|5mg|tablet","0f2fb8fd-7c51-4295-8c06-452836590b2b","EXISTING_MATCH","Explicit tablet dosage form."
"16","16","2","Aripiprazole","10 mg","Tablet","","Tablet","aripiprazole|10mg|tablet","19cf2558-814f-4c47-a992-63f1f39710ef","EXISTING_MATCH","Explicit tablet dosage form."
"17","17","2","Aripiprazole","15 mg","Tablet","","Tablet","aripiprazole|15mg|tablet","7b5b77a5-8db3-4d97-898d-5cf679dcc832","EXISTING_MATCH","Explicit tablet dosage form."
"18","18","2","Aripiprazole","5 mg","Tablet","","Tablet","aripiprazole|5mg|tablet","fe9295ae-060c-48c1-b583-6628cd40562a","EXISTING_MATCH","Explicit tablet dosage form."
"19","19,137","2","Atorvastatin","10 mg","Tablet","","Tablet","atorvastatin|10mg|tablet","52e0df25-89b2-4492-a22d-58ffd3b90122","EXISTING_MATCH","Explicit tablet dosage form."
"20","20","2","Escitalopram","5 mg","Tablet","","Tablet","escitalopram|5mg|tablet","8868d37d-a4e9-41ad-8579-0107c6848674","EXISTING_MATCH","Explicit tablet dosage form."
"21","21","2","Metronidazole","400 mg","Tablet","","Tablet","metronidazole|400mg|tablet","086a733d-ca6c-43f5-8095-ba022236fb09","EXISTING_MATCH","Explicit tablet dosage form."
"22","22","2","Azithromycin","250 mg","Capsule","","Capsule","azithromycin|250mg|capsule","4b1e2ef4-bf92-47bf-894c-1adc2ccfc544","EXISTING_MATCH","Explicit capsule dosage form."
"24","24","2","Azithromycin","200 mg/5 mL","Oral Suspension","","Piece","azithromycin|200mg5ml|oralsuspension","6fed2350-4365-4538-be9a-87ea895ae20e","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"25","25,291","2","Atorvastatin","40 mg","Tablet","","Tablet","atorvastatin|40mg|tablet","c5e2dc63-9e66-45f2-8a4c-206d9b6519c8","EXISTING_MATCH","Explicit tablet dosage form."
"26","26","2","Baclofen","10 mg","Tablet","","Tablet","baclofen|10mg|tablet","7e677dc4-d39a-4410-88b8-b640a8c52019","EXISTING_MATCH","Explicit tablet dosage form."
"27","27,28,29","2","Chlorhexidine Gluconate","4 %","Solution","","Piece","chlorhexidinegluconate|4|solution","845bc4a0-8aed-41ef-be43-047c456e25f1","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"30","30","2","Cefotaxime","1 g","Injection","","Piece","cefotaxime|1g|injection","21fc7c13-eaa2-4997-b6d0-954e098e73db","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"31","31","3","Abiraterone","500 mg","Tablet","","Tablet","abiraterone|500mg|tablet","75df30e3-eb08-4a0b-af61-e7db700ff6ac","EXISTING_MATCH","Explicit tablet dosage form."
"32","32","3","Beclomethasone","400 mcg","Inhalation Capsules","","Piece","beclomethasone|400mcg|inhalationcapsules","08612ab5-b0f0-404f-a51c-542a694810b6","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"33","33,34","3","Clobetasol","0.05 %","Cream","","Piece","clobetasol|005|cream","8b9da117-2e57-49b5-9a98-bfcc625ec9f0","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
